,header
0,"Row(('66.249.65.202 - - [16/Nov/2018:20:55:15.275 +0000] ie.tommy.com ""GET /ie.tommy.com/mens-cardigans HTTP/1.1"" 200 46030 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
1,"Row(('66.249.65.93 - - [16/Nov/2018:20:55:20.154 +0000] lt.tommy.com ""GET /lt.tommy.com/mens-cardigans HTTP/1.1"" 200 45897 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
2,"Row(('66.249.73.18 - - [16/Nov/2018:20:55:23.556 +0000] hr.tommy.com ""GET /hr.tommy.com/mens-cardigans HTTP/1.1"" 200 45946 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
3,"Row(('66.249.65.200 - - [16/Nov/2018:20:55:28.285 +0000] ie.tommy.com ""GET /ie.tommy.com/ladies-shorts HTTP/1.1"" 200 34180 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
4,"Row(('66.249.65.200 - - [16/Nov/2018:20:55:36.764 +0000] ie.tommy.com ""GET /ie.tommy.com/womens-flip-flops HTTP/1.1"" 200 32331 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
5,"Row(('66.249.65.93 - - [16/Nov/2018:20:56:10.670 +0000] lt.tommy.com ""GET /lt.tommy.com/mens-underwear-briefs HTTP/1.1"" 200 36787 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
6,"Row(('66.249.73.146 - - [16/Nov/2018:20:57:07.740 +0000] be.tommy.com ""GET /be.tommy.com/FR/sacs-a-dos-homme HTTP/1.1"" 200 48986 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
7,"Row(('66.249.73.18 - - [16/Nov/2018:20:57:28.970 +0000] hr.tommy.com ""GET /hr.tommy.com/womens-padded-coats-jackets HTTP/1.1"" 200 56204 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
8,"Row(('66.249.65.200 - - [16/Nov/2018:20:57:42.107 +0000] ie.tommy.com ""GET /ie.tommy.com/womens-padded-coats-jackets HTTP/1.1"" 200 51976 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
9,"Row(('66.249.65.183 - - [16/Nov/2018:20:57:43.612 +0000] lv.tommy.com ""GET /lv.tommy.com/womens-padded-coats-jackets HTTP/1.1"" 200 51918 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
10,"Row(('66.249.73.81 - - [16/Nov/2018:20:57:51.901 +0000] es.tommy.com ""GET /es.tommy.com/hombres-ropa-tailored?cmpid=ch:display%7Cdp:brand%7Cso:gq_native%7Ccp:ss16_nadal%7Cco:es%7Clb:tht&utm_medium=display&utm_source=brand_gqnative_nadal&utm_campaign=SS16_es_M_THT HTTP/1.1"" 200 49565 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
11,"Row(('66.249.73.18 - - [16/Nov/2018:20:57:55.132 +0000] hr.tommy.com ""GET /hr.tommy.com/womens-bikinis HTTP/1.1"" 200 39257 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
12,"Row(('66.249.65.183 - - [16/Nov/2018:20:58:06.940 +0000] lv.tommy.com ""GET /lv.tommy.com/womens-bikinis HTTP/1.1"" 200 39267 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
13,"Row(('66.249.65.111 - - [16/Nov/2018:20:59:01.208 +0000] pl.tommy.com ""GET /pl.tommy.com/meskie-koszule HTTP/1.1"" 200 52259 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
14,"Row(('66.249.73.152 - - [16/Nov/2018:20:59:44.446 +0000] fr.tommy.com ""GET /fr.tommy.com/tommy-now-femme HTTP/1.1"" 200 50622 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
15,"Row(('66.249.73.81 - - [16/Nov/2018:20:59:47.422 +0000] es.tommy.com ""GET /es.tommy.com/mujeres-botas HTTP/1.1"" 200 49455 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
16,"Row(('66.249.73.152 - - [16/Nov/2018:20:59:53.313 +0000] fr.tommy.com ""GET /fr.tommy.com/femme?errorKey=ProductOutOfStock HTTP/1.1"" 200 29256 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
17,"Row(('66.249.73.153 - - [16/Nov/2018:20:59:55.362 +0000] fr.tommy.com ""GET /fr.tommy.com/bottes-femme HTTP/1.1"" 301 246 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
18,"Row(('66.249.73.152 - - [16/Nov/2018:20:59:55.666 +0000] fr.tommy.com ""GET /fr.tommy.com/bottes-femme HTTP/1.1"" 200 47875 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
19,"Row(('66.249.73.153 - - [16/Nov/2018:20:59:56.634 +0000] fr.tommy.com ""GET /fr.tommy.com/bottes-femme HTTP/1.1"" 301 246 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
20,"Row(('66.249.73.152 - - [16/Nov/2018:20:59:56.707 +0000] fr.tommy.com ""GET /fr.tommy.com/bottes-femme HTTP/1.1"" 200 48459 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
21,"Row(('66.249.65.118 - - [16/Nov/2018:21:00:20.248 +0000] pt.tommy.com ""GET /pt.tommy.com/sweatshirt-dresses HTTP/1.1"" 200 36932 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
22,"Row(('66.249.65.185 - - [16/Nov/2018:21:00:21.972 +0000] lv.tommy.com ""GET /lv.tommy.com/sweatshirt-dresses HTTP/1.1"" 200 36983 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
23,"Row(('66.249.65.204 - - [16/Nov/2018:21:00:25.046 +0000] ie.tommy.com ""GET /ie.tommy.com/womens-flat-boots HTTP/1.1"" 200 48883 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
24,"Row(('66.249.73.144 - - [16/Nov/2018:21:04:52.233 +0000] fr.tommy.com ""GET /fr.tommy.com/bottes-femme HTTP/1.1"" 200 47875 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
25,"Row(('66.249.65.218 - - [16/Nov/2018:21:06:15.612 +0000] at.tommy.com ""GET /at.tommy.com/damen-kleider HTTP/1.1"" 200 50587 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
26,"Row(('66.249.65.118 - - [16/Nov/2018:21:06:23.711 +0000] pt.tommy.com ""GET /pt.tommy.com/men-tommy-jeans-wishlist HTTP/1.1"" 302 268 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
27,"Row(('66.249.65.118 - - [16/Nov/2018:21:06:23.780 +0000] pt.tommy.com ""GET /pt.tommy.com/men-tommy-jeans-capsule-collection HTTP/1.1"" 200 44494 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
28,"Row(('66.249.65.108 - - [16/Nov/2018:21:07:42.189 +0000] pl.tommy.com ""GET /pl.tommy.com/kobiety-wyprzedaz HTTP/1.1"" 200 60222 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
